ID,SourceText,TranslatedText
86,,軍團
96,,踐踏
97,,踐踏
98,,踐踏
106,,比長矛兵更堅固，善於對抗騎兵部隊. \r\n+ 反騎兵專家\r\n- 不利於與裝甲部隊搏鬥
114,,重裝近戰步兵
115,,長戟兵
116,,堅韌長戟兵
117,,老練長戟兵
118,,精銳長戟兵
133,,卡薩吉禁衛軍團
134,,貝都因傭兵團
135,,遠征軍
136,,朵顏三衛
137,,神機營
138,,溫嘉德騎士團
139,,溫嘉德野戰軍
140,,溫嘉德義勇兵
141,,敕令騎士團
142,,熱那亞傭兵團
143,,瑞士傭兵團
144,,雙酬傭兵連隊
145,,淒慘無望隊
146,,國土傭仆連隊
147,,阿金奇掠奪者
148,,塞爾維亞軍團
149,,突厥采邑
150,,常備軍
151,,黑帽軍
152,,沙皇衛隊
153,,韃靼傭兵團
154,,訓練由3個馬穆魯克和3個加齊掠奪者組成的卡薩吉禁衛軍團.
155,,訓練由3個駱駝騎兵和3個駱駝弓兵組成的貝都因傭兵團.
156,,訓練由6個古拉姆組成的遠征軍.
157,,訓練由6個蒙古突騎組成的朵顏三衛.
158,,訓練由4個火槍兵和1個鐘樓一窩蜂火箭組成的神機營.
159,,訓練由3個溫嘉德騎士、2個溫嘉德騎手、1個掠奪兵組成的溫嘉德騎士團.
160,,訓練由2個裝甲步兵、2個溫嘉德步兵、2個長矛兵、2個長戟兵組成的溫嘉德野戰軍.
161,,訓練由4個長弓兵和3個溫嘉德遊俠組成的溫嘉德義勇兵.
162,,訓練由3個皇家騎士、2個騎手和1個弩騎兵組成的敕令騎士團.
163,,訓練由3個裝甲步兵和3個弓弩兵組成的熱那亞傭兵團.
164,,訓練由4個長戟兵和2個長槍兵組成的瑞士傭兵團.
165,,訓練由2個長重炮和4個火槍兵組成的雙酬傭兵連隊.
167,,訓練由2個國土傭仆、2個裝甲步兵、2個長槍兵、2個長戟兵和2個火槍兵組成的國土傭仆連隊.
168,,訓練由3個西帕希騎兵和3個騎射手組成的阿金奇掠奪者.
169,,訓練由3個貴族騎士和3個貴族武士組成的塞爾維亞軍團.
170,,訓練由3個西帕希騎兵和3個長矛騎兵組成的突厥采邑.
171,,訓練由5個蘇丹親兵和1個重型火炮組成的常備軍.
172,,訓練由3個騎手和3個騎射手組成的黑帽軍.
173,,訓練由3個特轄軍和4個射手衛隊組成的沙皇衛隊.
174,,訓練由3個怯薛和3個蒙古突騎組成的韃靼傭兵團.
175,,訓練由1個國土傭仆、2個長槍兵和2個長戟兵組成的淒慘無望隊.
176,,訓練由1個戰象和1個蘇丹的精銳箭塔象組成的曼薩蔔達爾.
177,,曼薩蔔達爾
180,,貴族武士
181,,貴族騎士
183,,溫嘉德騎士
185,,溫嘉德騎手
188,,裝甲步兵和國土傭仆護甲 +%1%.
189,,馬克西米連板甲
190,,步兵科技
192,,驍勇善戰的諾曼騎士，可以緩慢地恢復生命值持續戰鬥. \r\n+ 善於混戰\r\n- 被長矛兵和弩手克製
195,,將軍
196,,強大的中國將軍，善於利用自己的戰術改變戰場的流向.\r\n- 進入元朝後可以建造都護府建築\r\n- 可進行監督
199,,突厥騎射
201,,火藥指揮官
203,,終極動員令
206,,擲彈兵
207,,火槍兵
208,,一窩蜂火箭
209,,皇宮衛兵
210,,在戰場上動員3個擲彈兵.
211,,在戰場上動員3個火長矛騎兵.
212,,在戰場上動員1個一窩蜂火箭.
213,,在戰場上動員3個皇宮衛兵.
214,,羅斯領導人，可以用自身的威能督促周圍的部署建築更快工作.
215,,總管元帥
216,,騎兵指揮官
217,,提高附近騎兵部隊的攻擊力和進軍速度.
218,,重裝近戰步兵
219,,傭兵指揮官
220,,快速發展
221,,作為法蘭西的騎士元帥，可以和騎兵們一起以最大速度沖鋒，並強化攻擊力.
222,,神聖羅馬帝國傭兵指揮官，他懂得如何使用金錢的力量為您的士兵更加為您賣命.
223,,大公
228,,堅守！
229,,全力攻擊！
230,,快速補給
231,,花費200黃金使得鄰近的部隊在15秒內快速傾瀉火力，冷卻時間35秒.
232,,使得鄰近的部隊在15秒內提高防禦力，冷卻時間22秒.
233,,花費200黃金使得鄰近的部隊在10秒內快速恢復生命值，冷卻時間30秒.
239,,戰象驚嚇
241,,訓練由3個貴族騎士和3個貴族武士組成的德魯日納軍團.
242,,混合部隊
243,,德魯日納軍團
244,,重裝遠程步兵
246,,帕夏
247,,遠程騎兵，大象
248,,乘坐在戰象上親自使用強大火器進行戰鬥的德里蘇丹，其恐怖的坐騎散發出的壓迫感足以讓敵方的騎兵感到畏懼.\r\n- 研究寧靜之地後，可以像清真寺一樣提供光環\r\n- 驚嚇敵方騎兵
250,,蘇丹戰象
251,,戰象使附近敵方騎兵攻擊力 -20%.
252,,戰象驚嚇
255,,訓練由3個穆索法迪戰士和3個穆索法迪火槍兵組成的達荷美女戰士團，通過死士駐軍可訓練曼薩穆索法迪戰士.
256,,達荷美女戰士團
257,,訓練由2個標槍投擲者、2個精銳弓兵和2個當佐兵組成的富拉尼獵人團，通過死士駐軍可訓練曼薩標槍投擲者.
258,,富拉尼獵人團
259,,圖阿雷格遊牧團
260,,訓練由3個駱駝騎兵和3個駱駝弓兵組成的圖阿雷格遊牧團.
261,,駱駝弓兵
262,,駱駝騎兵
263,,訓練由3個駱駝騎兵和3個古拉姆組成的伊克塔達爾.
264,,訓練由1個箭塔象和3個兵方隊組成的拉傑普特軍團.
265,,伊克塔達爾
266,,拉傑普特軍團
267,,輕型遠程騎兵
271,,從蒙兀兒斯坦動員3個怯薛、2個蒙古突騎和2個答剌罕騎兵.
272,,察合臺軍
273,,金帳軍
274,,伊兒軍
275,,元軍
276,,從中國動員1個一窩蜂火箭和3個皇宮衛兵.
277,,從波斯動員3個古拉姆和3個加齊掠奪者.
278,,從俄羅斯動員2個騎士和4個火槍兵.
279,,從蒙古高原動員2個鐵浮圖.
280,,蒙古軍
282,,火箭兵
284,,手持火箭發射器的遠程步兵，可以持續地造成大量攻城傷害.
285,,鄂圖曼帝國軍事領導人，通過戰吼提高進軍速度並打擊敵人士氣，使用特製的火槍進行大範圍攻擊.
309,,移動的資源回收點，村民可將收集的資源存放於此處.\n- 不會占據人口數量，但最多只能生產10個.
311,,補給馬車
313,,資源上交點
314,,訓練由6個醫院騎士組成的醫院騎士團.
315,,醫院騎士團
317,,精銳怯薛
318,,精銳怯薛
319,,高門守衛者
320,,軍事學校科技
322,,訓練由6個曼薩自由民騎兵組成的曼德卡盧戰團.
323,,曼德卡盧戰團
325,,訓練由6個長矛騎兵組成的賈吉爾達爾.
326,,賈吉爾達爾
328,,一座間諜地標，帶有覆蓋 %1% 格的視野範圍以及皇家密探能力. 激活後可顯示敵方工人位置 %2% 秒. \r\- 可訓練獨特軍團.\r\n- 帝國官員可監督或將稅金存放於這座建築
340,,草原突騎
341,,騎兵獲得+25生命值.
345,,重裝遠程騎兵
347,,重裝遠程騎兵，駱駝
349,,曼薩王
351,,富有的馬利帝國皇帝，使用火槍進行戰鬥\r\n- 研發法里瑪領導製後可以像索法騎手一樣提供強化光環\r\n- 建造戰爭集結地臨時部署軍團
361,,快速突襲騎兵，繼承了歐洲大陸的傳統技藝，可以持續不斷地恢復生命值繼續戰鬥.\r\n+ 善於對抗遠程部隊\r\n- 被長矛兵克製
363,,來自塞爾維亞的熟練戰士，造成範圍攻擊，對非主要攻擊目標造成小量傷害.
365,,來自塞爾維亞的熟練騎士，造成範圍攻擊，對非主要攻擊目標造成小量傷害.
369,,熟練的突厥人騎射手，遠距離造成近戰傷害. \n\n- 善於對抗攻城武器\n- 對建築物造成的傷害 -15
370,,訓練由6個曼薩自由民戰士組成的凱勒伯洛戰團，需要建造死士駐軍地標解鎖.
371,,凱勒伯洛戰團
375,,身穿沈重裝甲的無畏騎兵，可以有效抵禦大部分的傷害.
377,,死士騎兵
380,,穆斯林軍事領導人，可以遠距離造成連續的近戰攻擊，並威壓附近的敵方騎兵部隊.\r\n- 可以在石墻上建造要塞塔\r\n- 驚嚇敵方騎兵\r\n- 帝王時代前較弱
382,,蘇丹
387,,火長矛騎兵
388,,在戰場上動員3個諸葛弩兵.
389,,諸葛弩兵
390,,在戰場上動員3個火槍兵.
395,,首都城鎮中心獲得穩定的 %1% 每分鐘的石頭細流，如果建造了下列地標，可獲得雙倍的石頭細流.\r\n- 皇宮 \r\n- 江南塔 \r\n- 公會大廳 \r\n- 王宮 \r\n- 邁因維克宮殿 \r\n- 智慧宮\r\n- 金門 \r\n- 守護者大院 \r\n- 伊斯坦堡皇宮 \r\n- 曼薩采石場 \r\n- 大酒莊 \r\n- 日式倉庫 
397,,石料科技
399,,聖殿騎士
400,,強大的騎士團成員
401,,訓練由5個聖殿騎士組成的聖殿騎士團.
402,,條頓騎士
404,,醫院騎士
405,,訓練由5個條頓騎士組成的條頓騎士團.
406,,條頓騎士團
407,,皇家近衛團
408,,北歐衛隊
409,,軍團兵
410,,訓練由6個拜占庭聖騎兵組成的皇家近衛團.
411,,訓練由4個瓦蘭吉衛隊和2個北歐戰士組成的北歐衛隊.
412,,訓練由10個邊防軍組成的軍團兵.
413,,訓練由5個日本火槍步兵和1個鐵炮旗本武士組成的鐵炮隊，如果旗本武士人口達到上限，則訓練6個日本火槍步兵.
414,,鐵炮隊
415,,訓練由3個騎馬日本武士、2個騎手和1個騎馬旗手組成的赤備隊，如果旗本武士人口達到上限，則訓練4個騎馬日本武士和2個騎手.
416,,赤備隊
417,,訓練由6個長矛兵組成的足輕隊.
418,,足輕隊
419,,訓練由6個騎射手組成的土庫曼傭兵團.
420,,土庫曼傭兵團
421,,北歐戰士
422,,聖殿騎士團
423,,掌握強大武藝的日本軍事領導人
424,,大名
425,,軍區將軍
426,,統領帝國軍區的拜占庭將軍，使用拜占庭帝國的騎兵戰術壓製對手.\n- 研發縱火者科技後可以像偵察兵一樣提供火炬強化光環\n- 建造帝國競技場地標解鎖加速技能\n- 建造地下水宮地標解鎖恢復技能
427,,訓練由3個火槍兵和3個弓弩兵組成的威尼斯傭兵.
428,,威尼斯傭兵
429,,訓練由5個女武者和1個弓馬旗本武士組成的流鏑馬，如果旗本武士人口達到上限，則訓練6個女武者.
430,,流鏑馬
431,,帝國衛隊
432,,在戰場上動員3個帝國衛隊.
450,,神眼步弓手
451,,就算在極遠距離也能準確無誤地命中敵人眼睛的技藝純熟的努比亞神射手.\n- 反裝甲
452,,努比亞傭兵團
453,,奧爾良炮兵連
454,,聖女親衛隊
456,,匈牙利黑軍
457,,龍騎士團
458,,阿羅漢
459,,三千營
460,,五軍營
461,,訓練由5個弩手和3個諸葛弩兵組成的五軍營.
462,,訓練由3個帝國衛隊和3個元朝掠奪者組成的三千營，需要研發「王朝守護者」科技.
463,,訓練由6個少林僧侶組成的阿羅漢.
464,,訓練由2個鍍金國土傭仆、2個鍍金裝甲步兵、4個鍍金長矛兵、2個鍍金火槍兵組成的龍騎士團.
465,,訓練由6個鍍金火槍兵組成的匈牙利黑軍.
466,,訓練由3個皇家騎士和3個貞德的騎兵組成的聖女騎士團.
467,,訓練由3個裝甲步兵和3個貞德的劍兵勇士組成的聖女親衛隊.
468,,訓練由4個火槍兵和1個皇家加農炮組成的奧爾良炮兵連.
469,,訓練由6個神眼步弓手組成的努比亞傭兵團.
470,,訓練由3個馬穆魯克、2個駱駝長矛騎兵和1個沙漠掠奪者組成的卡薩吉禁衛軍團.
471,,醫院騎士團大師
472,,聖殿騎士
475,,聖殿騎士團大師
478,,條頓騎士團大師
487,,瓦蘭吉衛隊
488,,精銳瓦蘭吉衛隊
490,,重型遠程騎兵
492,,重型遠程騎兵
494,,重型遠程騎兵
496,,重型遠程騎兵
498,,重型遠程騎兵
500,,重型遠程騎兵
502,,配備精良裝甲的馬上弓箭手，善於利用速度優勢對抗步兵，不善於對抗弩手和騎兵.
504,,配備稍好裝甲的馬上弓箭手，可以發射火箭燒毀建築.
510,,裝備火繩槍的裝甲騎兵.
516,,威力巨大的巨炮，可以架設在城墻上開火.
517,,大教堂
518,,需要白色浮屠佛塔.
519,,回回炮
521,,擁有城鎮中心的生產村民和存放資源功能，在地標附近會獲得雙倍帝國議會經驗，並且維齊爾點數上限 +2.
523,,訓練由3個裝甲騎射手和3個騎手組成的瓦達瑞泰軍團.
524,,瓦達瑞泰軍團
525,,在戰場上動員3個元朝掠奪者.
526,,元朝掠奪者
531,,王朝崛起
537,,火槍兵科技
538,,旗本武士單位生命值 +%1%%%，攻擊力 +%2%，並解鎖一個強大的幕府將軍.
539,,幕府
541,,散彈槍
544,,散彈槍兵
545,,發射鐵製散彈的火槍兵，可以對大範圍造成3段傷害.
546,,雙薪
547,,步兵科技
548,,合理的報酬使得神聖羅馬帝國的士兵們更能發揮出戰鬥能力.\n- 長戟兵攻擊範圍增加 \n- 國土傭仆造成雙倍沖鋒傷害
552,,來自基輔的熟練戰士，造成範圍攻擊，對非主要攻擊目標造成小量傷害.
553,,來自基輔的熟練騎士，造成範圍攻擊，對非主要攻擊目標造成小量傷害.
554,,可以生產額外的4個新軍團，並且全部8個軍團獲得價格折扣.
556,,僧兵
558,,日本戰鬥僧侶. \r\n\r\n+ 捕獲聖地、聖物 \r\n+ 造成範圍傷害\r\n- 無法治療其他部隊
559,,解鎖佛教僧侶，僧侶成本 -%1%%%，可以使敵人的傷害 -%2%%%，並在施放招降時讓附近的友方單位傷害 +%3%%%，可以在此生產僧兵.
560,,不具備戰鬥能力的輔助單位。可以駐紮於清真寺或穆斯林學塾，以加快科技的研究速度。從城堡時代 (第三時代) 開始可拾取聖物、招降敵方單位及占領聖地。\r\n+ 可治療友方單位\r\n+ 不需要人口，但最大只能訓練25個 \r\n- 生命值低.
561,,附近的牛每分鐘提供 %1% 食物，村民可以將食物存放在此地標，可在此地標生產牛.
562,,補給馬車達到生產數量上限. 
563,,學者達到生產數量上限. 
564,,聖女騎士團
565,,要塞塔
566,,發射重型炮彈的大型防禦設施.
567,,只能訓練1個軍團長.
568,,只能訓練1個大教堂.
569,,只能訓練1個醫院騎士團大師.
570,,只能訓練1個聖殿騎士團大師.
571,,只能訓練1個條頓騎士團大師.
572,,配備精良裝甲和手弩的馬上弩手，善於利用速度優勢對抗重裝部隊，不善於對抗騎手.
573,,配備精良裝甲和手弩的馬上弩手，善於利用速度優勢對抗重裝部隊，不善於對抗騎手.
575,,貝都因傭兵團
576,,訓練由3個貝都因劍士和3個貝都因擲矛手組成的貝都因傭兵團.
577,,擲彈兵的射程 +%1%，並發射的手榴彈得到強化，造成的範圍傷害影響範圍 +50%%.
582,,在訓練邊防軍、瓦蘭吉衛隊、拜占庭聖騎兵或基耶羅噴火筒時，有30%%的幾率在此地標也生成一個相同單位。 在此地標可使用橄欖油瞬間生產軍團
583,,裝甲騎射手
584,,掠奪兵
585,,弩騎兵
586,,火槍騎兵
587,,馬穆魯克
588,,精銳騎兵部隊，可以頻繁發動小範圍攻擊沖鋒，並且撕裂敵人造成流血傷害
589,,騎兵科技
590,,騎兵科技
591,,騎兵在脫離戰鬥後每 %2% 秒恢復 +%1% 生命值 
592,,騎兵在脫離戰鬥後每 %2% 秒恢復 +%1% 生命值 
594,,提供一系列非常獨特的升級，可解鎖元朝掠奪者和帝國衛隊，僅可研究 %1% 科技
595,,可作為兵營使用，工作效率 +%1%%%，可在此生產軍團和軍團長
596,,可作為兵營使用，工作效率 +%1%%%，生產成本 -%2%%%，研究科技快 %3%%%，可在此生產軍團和軍團長
599,,金號角塔科技
600,,步兵和拜占庭聖騎兵在脫離戰鬥後每 %2% 秒恢復 +%1% 生命值 
601,,遠程部隊射程 +%1%.
602,,傭兵精神
603,,後勤學
604,,費爾幹納馬
605,,定期生產已解鎖的雇傭兵單位，且免費，在帝王時代為靶場解鎖新傭兵單位\r\n\r\n在水池的影響範圍內，所生產單位的效率增加
606,,答剌罕騎兵
607,,使用火把焚燒一切的掠奪者\r\n+ 造成範圍火焰傷害\r\n+ 高遠程防禦\r\n- 近戰能力較差
608,,火炬
609,,騎兵生命值 +%2%，汗和蒙古突騎射程 +%1%
610,,蒙古突騎科技
611,,訓練由5個日本武士和1個武士刀旗手組成的禦家人，如果旗本武士人口達到上限，則訓練6個日本武士
612,,禦家人
613,,每次快速生產 %1% 個兵營和靶場單位。單位成本轉換為黃金，並減少 -%2%%%\r\n\r\n- 可以以20%%的折扣快速生產 %1% 個死士騎兵\r\n- 解鎖戰爭集結地單獨訓練死士騎兵
614,,雷格尼茨大教堂聖物收入提升率增加到 +%1%%%
615,,聖髑盒
617,,可以生產所有部隊和軍團\r\n\r\n根據建造的地標解鎖額外的部隊:\r\n- 鹿石 : 汗的獵人\r\n- 忽里勒臺 : 達魯花赤\r\n- 白色浮屠佛塔 : 回回炮
618,,驛站
620,,已達到研發上限 (4).
621,,生產佛教僧侶和僧兵，並包含獨特的佛教科技。佛教僧侶可以在戰鬥中提供支持，可施放僧兵經文降低敵人帶來的傷害，並用佛教皈依來增強盟友帶來的傷害。\n\n另外可以建造 %1% 座額外的佛教寺廟。
622,,生產佛教僧侶和僧兵並研究獨特的佛教科技。從城堡時代 (第三時代) 開始，宗教單位可拾取聖物並將其放置在此建築中以產生黃金。
627,,忍術大師分享他們的修行技巧，步兵單位生命值 +15%%，攻擊力 +10%%
628,,修行
629,,步兵科技
630,,可生產忍者間諜單位，擅長偵察、破壞和暗殺。完成後自動生產一個免費的忍者。\r\n\r\n在帝王時代，可以分享忍者的修行技巧，使得所有步兵 +15%%生命值和 +10%%攻擊力
631,,國土傭仆造成雙倍沖鋒傷害
635,,訓練由2個帝國衛隊和4個長矛騎兵組成的三千營
636,,訓練由4個散彈槍兵和1個手推炮組成的神機營
643,,在軍事生產建築內駐紮可使新訓練單位生命值 +%1%%%，無法駐紮在碼頭和大型箭塔。
644,,都護府
645,,發射遠距離手銃，並在駐紮部隊時發射額外的手銃射箭槽。\r\n\r\n- 僅限建造3個
647,,重裝遠程步兵
648,,法拉利亞火槍兵
649,,精銳馬利帝國火槍兵，根據帝國的擴張而決定他們的編製規模\r\n\r\n- 不需要人口，存在上限根據露天礦坑的數量決定
650,,帝國規模達到等級1(1個露天礦坑)，現在可以供養起2個法拉利亞火槍兵。\r\n- 無法在存在法拉利亞火槍兵的前提下再次進行招募
651,,黃金帝國近衛軍 Lv1
652,,無法在存在法拉利亞火槍兵的前提下再次進行招募
653,,帝國規模達到等級2(2個露天礦坑)，現在可以供養起4個法拉利亞火槍兵。\r\n- 無法在存在法拉利亞火槍兵的前提下再次進行招募
654,,帝國規模達到等級3(3個露天礦坑)，現在可以供養起7個法拉利亞火槍兵。\r\n- 無法在存在法拉利亞火槍兵的前提下再次進行招募
655,,帝國規模達到等級4(4個露天礦坑)，現在可以供養起10個法拉利亞火槍兵。\r\n- 無法在存在法拉利亞火槍兵的前提下再次進行招募
656,,黃金帝國近衛軍 Lv2
657,,黃金帝國近衛軍 Lv3
658,,黃金帝國近衛軍 Lv4
659,,在戰場上動員一個大筒兵
660,,在戰場上動員一個忍者
661,,忍者
662,,大筒兵
663,,需要地標
664,,需要列王修道院
665,,訓練由3個裝甲步兵、3個火槍兵和1個風琴炮組成的溫嘉德炮兵團
666,,溫嘉德炮兵團
669,,火焰投擲者
670,,投擲希臘火陶瓷罐的希臘勇士，可對命中目標造成持續的燃燒傷害
671,,花費150黃金使得鄰近的部隊在10秒內快速恢復生命值
672,,花費200黃金使得鄰近的部隊在15秒內快速傾瀉火力 
678,,索法騎手和駱駝騎兵護甲 +%1%.
679,,兵方隊
680,,擁有更長攻擊距離的印度武士.
681,,提供移動忽里勒臺光環的蒙古官員.
682,,達魯花赤
683,,需要忽里勒臺地標
684,,首都城鎮中心獲得穩定的 %1% 每分鐘的石頭細流
685,,武器
686,,沖鋒
687,,為了生計向中國人賣命的蒙古騎射手
688,,為了生計向俄羅斯人賣命的蒙古騎射手
689,,為了生計向俄羅斯人賣命的蒙古騎兵，可以在任何環境頑強地戰鬥，被動恢復生命值
690,,身穿沈重護甲獲得強大防禦能力的強力騎士團成員\r\n- 在城堡時代較弱，在帝王時代升級到完全形態\r\n- 移動速度慢
691,,擁有毀滅性沖鋒能力的強力騎士團成員
692,,護甲稍差，但是擁有強大恢復能力的強力騎士團成員
693,,護甲稍差，但是擁有強大恢復能力的強力騎士團成員
694,,護甲稍差，但是擁有強大恢復能力的強力騎士團成員
695,,一座間諜地標，帶有覆蓋 %1% 格的視野範圍以及皇家密探能力。激活後可顯示敵方工人位置 %2% 秒。\r\n- 可訓練獨特軍團\r\n- 帝國官員可將稅金存放於這座建築
696,,騎兵沖鋒傷害 +12
697,,毀滅沖鋒
698,,將長矛騎兵升級為近衛西帕希騎兵
699,,操演
700,,大會議
701,,曼薩蔔達箭塔象
702,,曼薩蔔達系統
703,,將蘇丹的精銳箭塔象升級為曼薩蔔達箭塔象，獲得+5攻擊力和+90對建築物傷害
704,,王冠科技
705,,佃農
706,,步兵科技
707,,當·提古伊系統
708,,當佐兵、標槍投擲者、穆索法迪戰士、弓兵和死士駐軍曼薩部隊的生命值和攻擊力 +%1%%%
709,,絲弓弦
710,,鐵炮旗本武士
711,,弓馬旗本武士
712,,特轄軍
713,,重裝近戰步兵
714,,使用巨型彎月斧橫掃一切的沙皇爪牙，攻擊力較低但可以造成全額範圍傷害\r\n- 對輕型步兵和工人部隊有超高的附加傷害\r\n- 攻城時會切換成強力火炬焚燒一切
715,,皇宮衛兵和重型騎兵的攻擊範圍 +%1%格
716,,尚武精神
717,,動員兵
718,,執行「卡拉什」戰術的征召兵，便宜可靠\r\n- 高攻擊距離\r\n- 可以修理攻城武器和建造防禦工事\r\n- 可以直接攻擊城墻\r\n- 可以快速恢復生命值
