ID,SourceText,TranslatedText
86,,Legion
96,,Trampeln
97,,Trampeln
98,,Trampeln
106,,"Infanterie wird am besten gegen berittene Einheiten eingesetzt, stärker als Speerkämpfer. \r\n+ Spezialist für Kavalleriebekämpfung \r\n- Schwach gegen gepanzerte Infanterie"
114,,Schwere Nahkampfinfanterie
115,,Hellebardier
116,,hartgesottener Hellebardier
117,,Veteran Hellebardier
118,,Elite Hellebardier
133,,Khassaki-Wachen
134,,Misr-Armee
135,,Expeditionskorps
136,,Uriankhai
137,,Göttliche Belagerungseinheiten Division
138,,Wyngarde Soldat
139,,Wyngarde Huskarl
140,,Wyngarde Yeoman
141,,Gendarmerie
142,,Genuesischer Söldner
143,,Schweizer Söldner
144,,Doppelsöldner
145,,Verlorener Haufen
146,,Landsknecht Legion
147,,Akinji Räuber
148,,Serbisches Regiment
149,,Türkisches Lehen
150,,Stehendes Heer
151,,Schwarze Klobuks
152,,Garde des Zaren
153,,Tataren-Söldner
154,,Produziert Khassaki-Wachen von 3 Mamluken und 3 Ghazi.
155,,Produziert Misr-Armee von 3 Kamelreitern und 3 Kamelbogenschützen.
156,,Produziert eine Expeditionsstreitmacht von 6 Ghulam.
157,,Produziert Uriankhai von 6 Mangudai.
158,,"Produziert eine Göttliche Belagerungseinheit, die aus 4 Handkanonieren und 1 Uhrwerk-Bienennest besteht."
159,,Produziert Wyngarde Soldat aus 6 Sergeants.
160,,"Produziert Wyngarde Huskarl aus 2 Waffenknechten, 2 Wynguard-Lakaien, und 3 Schwere Speerkämpfer."
161,,Produziert Wyngarde Yeoman bestehend aus 4 Langbogenschützen und 3 Wynguard Rangern.
162,,"Produziert eine Gendarmerie bestehend aus 3 königlichen Rittern, 2 Reitern und 1 berittenem Armbrustschützen."
163,,Produziert einen genuesischen Söldner mit 3 Waffenknechten und 3 Arbalétriers.
164,,Produziert Schweizer Söldner mit 4 Hellebarden und 2 Schwere Speerkämpfer.
165,,Produziert Doppelsoldner von 2 Culverins und 4 Handkanonieren.
167,,"Produziert eine Landsknecht-Legion bestehend aus 2 Landsknechten, 2 Waffenknechten, 2 Schwere Speerkämpfer, 2 Hellebarden und 2 Handkanonieren."
168,,Produziert Akinji Räuber mit 3 Sipahi und 3 Akinji.
169,,Produziert ein serbisches Regiment bestehend aus 3 Bojarenrittern und 3 Bojarenkriegern.
170,,Produziert ein türkisches Lehen von 3 Sipahi und 3 Lancer.
171,,Produziert eine stehende Armee von 5 Janitscharen und 1 Großen Bombardement.
172,,Produziert schwarze Klobuks aus 3 Reitern und 3 berittenen Bogenschützen.
173,,"Stellt die Zarengarde her, die aus 3 Oprichnik und 4 Streltsy besteht."
174,,"Produziert Tataren, Söldner von 3 Keshiks und 3 Mangudai."
175,,"Produziert Verlorener Haufen von 1 Landsknecht, 2 Schwere Speerkämpfer und 2 Hellebarden."
176,,Produziert Mansabdar von 1 Kriegselefanten und 1 Elite-Turmelefanten des Sultans.
177,,Mansabdar
180,,Bojarischer Krieger
181,,Bojarischer Ritter
183,,Wyngarde-Ritter
185,,Wyngarde Reiter
188,,Erhöht die Rüstung von Landsknecht und Waffenknecht um +%1%.
189,,Maximilian Teller
190,,Infanterietechnik
192,,"Der tapfere normannische Ritter kann sich langsam erholen, um weiter zu kämpfen. \r\n+ Stark im Nahkampf \r\n- Gekontert von Speerkämpfern und Armbrustschützen"
195,,Allgemein
196,,"Der mächtige chinesische General, der gut darin ist, Taktiken anzuwenden, um den Fluss des Schlachtfeldes zu verändern. \r\n- Erlauben Sie zu überwachen \r\n- Erlauben Sie den Bau einer Komturei, wenn Sie in die Yuan-Dynastie eintreten"
199,,Türkischer Reiter Bogenschütze
201,,Schießpulver-Kommandant
203,,Ultimative Mobilisierung
206,,Grenadier
207,,Handfeuerschütze
208,,Nest der Biene
209,,Palastwache
210,,Mobilisiere 3 Grenadiere auf dem Schlachtfeld.
211,,Mobilisiere 3 Feuerlanzenreiter auf dem Schlachtfeld.
212,,Mobilisiere 1 Bienennest auf dem Schlachtfeld.
213,,Mobilisiere 3 Palastwachen auf dem Schlachtfeld.
214,,"Der Rus-Anführer kann sein eigenes Prestige nutzen, um die umliegenden Produktionsgebäude dazu zu bringen, schneller zu arbeiten."
215,,Polizist
216,,Kommandant der Kavallerie
217,,Verbessere den Schaden und die Geschwindigkeit der Kavallerie in der Nähe.
218,,Schwere Nahkampfinfanterie
219,,Söldner-Kommandant
220,,Schnelle Expansion
221,,Der Marschall von Frankreich kann mit der Kavallerie mit maximaler Geschwindigkeit angreifen und den Schaden verstärken.
222,,"Söldnerkommandant des Heiligen Römischen Reiches, Er weiß, wie er die Macht des Geldes für seinen Söldner nutzen kann, um härter zu kämpfen."
223,,Knyaz
228,,Beharren!
229,,Voller Angriff!
230,,Schnelle Lieferung
231,,"Gebt 300 Gold aus, um Einheiten in der Nähe innerhalb von 15 Sekunden angreifen zu lassen, Abklingzeit 35 Sekunden."
232,,"Einheiten in der Nähe verbessern ihre Panzerung innerhalb von 15 Sekunden, die Abklingzeit 22 Sekunden."
233,,"Gebt 300 Gold aus, damit sich Einheiten in der Nähe innerhalb von 10 Sekunden schnell regenerieren können, Abklingzeit 30 Sekunden."
239,,Unbehagen der Elefanten
241,,Produziert Druzhina aus 3 Bojarenrittern und 3 Bojarenkriegern.
242,,Legion
243,,Druzhina
244,,Schwere Fernkampfinfanterie
246,,Pascha
247,,"Fernkampfkavallerie, Elefant"
248,,"Sultan, der mit mächtigen Schusswaffen gegen den Kriegselefanten kämpfte, den Horror-Elefanten trieb und die feindliche Kavallerie einschüchterte. \r\n- Sorgen Sie für einen ruhigen Veranstaltungsort Aura wie eine Moschee, wenn die Technologie erforscht wird \r\n- Enthüllen Sie die feindliche Kavallerie\r\n- Ausgrabung der Ruinen des Imperiums nicht möglich, ausgegraben von Phalangite"
250,,Sultan-Elefant
251,,Kriegselefant verursachte Schaden bei gegnerischer Kavallerie in der Nähe -20%.
252,,Unbehagen der Elefanten
255,,"Produziert das Dahomey-Regiment bestehend aus 3 Musofadi-Kriegern und 3 Musofadi-Handkanonieren, produziert Mansa Musofadi-Krieger mit der Farimba-Garnison"
256,,Dahomey Regiment
257,,"Produziert das Fulani-Regiment mit 2 Speerwerfern, 2 Elite-Bogenschützen und 2 Donso, produziert den Mansa-Speerwerfer mit der Farimba-Garnison"
258,,Fulani-Regiment
259,,Tuareg-Regiment
260,,Produziert ein Tuareg-Regiment bestehend aus 3 Kamelreitern und 3 Kamelbogenschützen.
261,,Kamel-Bogenschütze
262,,Kamelreiter
263,,Produziert Iqtadar von 3 Kamelreitern und 3 Ghulam.
264,,Produziert eine Rajput-Armee bestehend aus 1 Turmelefanten und 3 Phalangiten.
265,,Iqtadar
266,,Rajput Armee
267,,Leichte Fernkampfkavallerie
271,,"Mobilisiert 3 Keshik, 2 Mangudai und 2 Tarkan aus Moghulistan."
272,,Tschagatai-Armee
273,,Armee der Goldenen Horde
274,,Die Armee
275,,Yuan Armee
276,,Mobilisiere 1 Bienennest und 3 Palastwachen aus China.
277,,Mobilisierung von 3 Ghazi und 3 Ghulam aus Persien.
278,,Mobilisiert 2 Ritter und 4 Kanoniere aus Russland.
279,,Mobilisiert 2 Eisenpagoden vom mongolischen Plateau.
280,,Mongol Armee
282,,Raketenwerfer
284,,Infanterie mit einem Raketenwerfer an der Hand kann kontinuierlichen Belagerungsschaden verursachen. \r\n+ Verursacht Belagerungsschaden bei mehreren Feinden \r\n- Verwundbar auf kurze Distanz
285,,"Der militärische Anführer des Osmanischen Reiches, verbessert die Marschgeschwindigkeit mit War Roar und kämpft mit einer speziellen Muskete für einen weiten Angriff."
309,,"Mobile Ressourcen Punkt, die Dorfbewohner können hier die kollektiven Ressourcen lagern. \r\n- Es wird nicht die Bevölkerung beschäftigen, aber es können nur maximal 10 produziert werden."
311,,Vorratswagen
313,,Punkt Ressourcen
314,,Produziert Deutsches Kavallerie aus 5 Reiter.
315,,Deutsches Kavallerie
317,,Elite Keshik
318,,Elite Keshik
319,,Highgate-Wächter
320,,Militärschulen Technologie
322,,Produziert Mandekalu von 6 Mansa-Freigeborenen-Reitern.
323,,Mandekalu 
325,,Produziert Jagirdar mit 6 Lanzenträgern.
326,,Jagirdar
328,,"Ein Spionage-Landmark mit einem Sichtradius von %1% und der Fähigkeit Imperiale Spione. Aktivieren, um den Standort der gegnerischen Arbeiter für %2% Sekunden anzuzeigen. \r\n- Kann einzigartige Legion produzieren. \r\n- Imperiale Beamte können in diesem Gebäude Steuern abgeben."
340,,Steppen-Lanze
341,,Die Kavallerie erhält +25 TP.
345,,Schwere Fernkampfkavallerie
347,,"Schwere Fernkampfkavallerie, Kamel"
349,,Sanftmütig
351,,"Der reiche Kaiser des Mali-Reiches, kämpft mit einer Muskete. \r\n- Sorge für eine Aura, wenn die Technologie von Farima Leadership erforscht wird \r\n- Baue einen Kriegssammelplatz, um die Legion vorübergehend einzusetzen"
361,,"Schnelle Raubzüge der Kavallerie können sich langsam erholen, um mit der Fertigkeit aus Kontinentaleuropa weiter zu kämpfen. \r\n+ Gut in Anti-Fernkampf-Einheiten \r\n- Von Speerkämpfern gekontert"
363,,"Der geschickte Krieger aus Osteuropa \r\n+ kann einem Ziel das nicht der Hauptangriff ist, Trampelschaden zufügen"
365,,"Der geschickte Ritter aus Osteuropa \r\n+ kann einem Ziel das nicht der Hauptangriff ist, Trampelschaden zufügen"
369,,Türkischer Bogenschütze verursacht Nahkampfschaden in der Ferne. \r\n+ Gut in der Anti-Belagerungswaffe \r\n+ Schaden am Gebäude -15
370,,"Produziert Kèlè-bolo von 6 Mansa-Freigeborenen-Kriegern, die mit dem Wahrzeichenpunkt der Farimba-Garnison freigeschaltet werden müssen."
371,,Kèlè-bolo
375,,Die furchtlose Kavallerie mit schwerer Rüstung kann dem größten Teil des Schadens effektiv widerstehen.
377,,Farimba
380,,Muslimische Militärführer können kontinuierliche Nahkampfangriffe aus großer Entfernung durchführen und die feindlichen Kavallerieeinheiten in der Nähe unterdrücken. \r\n- Kann einen Festungsturm auf der Steinmauer bauen \r\n- Feindliche Kavallerie enthüllen \r\n- Schwächer vor dem Kaiserzeitalter
382,,Sultan
387,,Feuer-Lanzenläufer
388,,Mobilisiere 3 Zhuge Nu auf dem Schlachtfeld.
389,,Zhuge Nu
390,,Mobilisiere 3 Handkanoniere auf dem Schlachtfeld.
395,,"Das Zentrum der Hauptstadt stellt %1% Steinressourcen pro Minute bereit, Gewährt das 2-fache des Steins im Kaiserzeitalter, wenn die folgenden Wirtschaftswahrzeichen gebaut sind. \r\n- Kaiserpalast \r\n- Jiangnan-Turm \r\n- Gildenhalle \r\n- Der Königspalast \r\n- Meinwerk-Palast \r\n- Haus der Weisheit \r\n- Das Goldene Tor \r\n- Gelände des Verteidigers \r\n- Kaiserpalast Istanbul \r\n- Mansa-Steinbruch \r\n- Großes Weingut \r\n- Kura-Lagerhaus"
397,,Stein-Technologie
399,,Tempelritter
400,,Mitglied der Mighty Orders.
401,,Produziert Tempelritter von 5 Tempelrittern.
402,,Ritter Teutonisch
404,,Ritter des Hospitaliers
405,,Erzeugt Deutsche Ritter von 5 Ritter Teutonisch.
406,,Ritter des Deutschen Ordens
407,,Tagmata
408,,Nordische Wache
409,,Legionäre
410,,Produziert Tagmata von 6 Kataphrakten.
411,,Produziert die nordische Garde von 4 Waräger-Wachen und 2 nordischen Kriegern.
412,,Produziert Legionäre mit 10 Limitanei.
413,,"Produziert ein Teppou-Regiment mit 5 Handfeuerwaffen Ashigaru und 1 Teppou Bannerman Wenn die Bannerman-Bevölkerung das Limit erreicht, werden 6 Handfeuerwaffen Ashigaru produziert."
414,,Teppou Regiment
415,,"Produziert ein Akazonae-Regiment bestehend aus 3 berittenen Samurai, 2 Reitern und 1 Uma-Bannerträger, wenn die Bannerman-Bevölkerung das Limit erreicht, produziert 4 berittene Samurai und 2 Reiter."
416,,Akazonae Regiment
417,,Produziert das Ashigaro-Regiment der 6 Speerarmen.
418,,Ashigaru Regiment
419,,Produziert turkmenischen Söldner mit 6 Akinji.
420,,Turkmenischer Söldner
421,,Nordischer Krieger
422,,Tempelritter
423,,Mächtige japanische Militärführer
424,,Daimyo
425,,Strategos
426,,"Byzantinischer Themata General, nutzt die Kavallerietaktik des Byzantinischen Reiches, um den Gegner zu unterdrücken. \r\n- Bietet Fackel zur Stärkung der Aura, wenn Technologie erforscht wird"
427,,"Produziert Venezianer, Söldner aus 3 Handkanonieren und 3 Arbalétriers."
428,,Venezianischer Söldner
429,,"Produziert ein Yabusame-Regiment von 5 Onna-Musha und 1 Yabusame Bannerman, wenn die Bannerman-Bevölkerung das Limit erreicht, produziert 6 Onna-Musha."
430,,Yabusame Regiment
431,,Imperiale Garde
432,,Mobilisiere 3 imperiale Wachen auf dem Schlachtfeld.
450,,Bogenschützen der Augen
451,,Ein geschickter nubischer Bogenschütze kann die Augen des Feindes aus sehr großer Entfernung treffen. \r\n+ Bonus auf Rüstung \r\n+ Große Reichweite \r\n- Verwundbar auf kurze Distanz
452,,Nubischer Söldner
453,,Königliche Artillerie
454,,Wächter der Jungfrau
456,,Ungarische Schwarze Armee
457,,Orden des Drachen
458,,Arhats
459,,Dreitausend Teilung
460,,Fünf-Kasernen-Division
461,,Produziert fünf Kasernendivisionen mit 5 Armbrustschützen und 3 Zhuge Nu.
462,,"Produziert dreitausend Divisionen von 3 imperialen Wachen und 3 Yuan-Räubern, muss die Technologie der dynastischen Beschützer erforschen"
463,,Produziert Arhats von 6 Shaolin-Mönchen.
464,,"Produziert den Orden des Drachen der 2 Vergoldeten Landsknechte, 2 Vergoldete Waffenknechte, 4 Vergoldete Speerkämpfer und 2 Drachen-Handkanoniere."
465,,Produziert die ungarische Schwarze Armee von 6 Drachen-Handkanonieren.
466,,Produziert den Orden der Jungfrau von 3 königlichen Rittern und 3 Jeannes Reitern.
467,,Produziert Wächter der Jungfrau von 3 Waffenknechten und 3 Jeannes Champions.
468,,Produziert Königliche Artillerie mit 4 Handkanonen und 1 Royal Cannon.
469,,Produziert Nubischer Söldner mit 6 Bogenschützen der Augen.
470,,"Produziert Khassaki-Wachen aus 3 Mamluken, 2 Kamel-Lanzenreitern und 1 Wüstenräuber."
471,,Meister der Hospitalritter
472,,Tempelritter
475,,Meister der Tempelritter
478,,Meister der Deutschen Ritter
487,,Warägergarde
488,,Elite-Warägergarde
490,,Schwere Fernkampfkavallerie
492,,Schwere Fernkampfkavallerie
494,,Schwere Fernkampfkavallerie
496,,Schwere Fernkampfkavallerie
498,,Schwere Fernkampfkavallerie
500,,Schwere Fernkampfkavallerie
502,,Kavallerie-Bogenschütze mit guter Rüstung. \r\n+ Hohe Rüstung \r\n- Wird von Rittern und Armbrustschützen gekontert.
504,,"Kavallerie-Bogenschütze mit einer etwas besseren Rüstung, feuert zerstörerische Brandpfeile mit Bonusschaden an Gebäuden ab. \r\n+ Belagerungsschaden \r\n- Niedriger Angriff"
510,,Gepanzerter Kavallerie-Bogenschütze mit Arkebuse.
516,,"Riesige Kanone, gegossen von ungarischen Ingenieuren \r\n+ Kann auf Steinmauern eingesetzt werden \r\n+ Langsame Regeneration"
517,,Basilika
518,,Brauche die weiße Stupa.
519,,Huihui Pao
521,,"Produziert Dorfbewohner und Dorfbewohner können Ressourcen an diesem Gebäude abgeben, verdoppeln die Erfahrung des Kaiserlichen Rates rund um das Wahrzeichen und erhöhen das Punktelimit für Wesire um +2."
523,,Produziert Vardariotai mit 3 gepanzerten Bogenschützen und 3 Reitern.
524,,Vardariotai
525,,Mobilisiere 3 Yuan-Plünderer auf dem Schlachtfeld.
526,,Yuan Räuber
531,,Der Aufstieg des Imperiums
537,,Technologie der Handfeuerwaffen
538,,Gesundheit und Schaden von Bannerman-Einheiten +%1%%% und Schaden +%2%.
539,,Shogunat
541,,Schrotflinte
544,,Schrotflinte
545,,"Handkanonier, der Eisenstreukugel abfeuert und 3 Burst-Schaden verursacht. \r\n+ Verursacht Fernkampfschaden bei mehreren Gegnern \r\n- Kurze Angriffsreichweite"
546,,Doppeltes Gehalt
547,,Infanterietechnik
548,,"Angemessenes Gehalt lässt die Soldaten des Heiligen Römischen Reiches verzweifelter kämpfen. \r\n- Hellebardiers Reichweite auf 0,,88 erhöht \r\n- Der Landsknecht verursacht bei einem erfolgreichen Angriff doppelten Schaden."
552,,"Der geschickte Krieger aus Osteuropa \r\n+ kann einem Ziel das nicht der Hauptangriff ist, Trampelschaden zufügen"
553,,"Der geschickte Ritter aus Osteuropa \r\n+ kann einem Ziel das nicht der Hauptangriff ist, Trampelschaden zufügen"
554,,Produziere 4 zusätzliche Legionen und alle 8 Legionen wurden reduziert.
556,,Sohei
558,,Japanischer Kampfmönch. \r\n\r\n+ Heilige Stätte und Relikt erobern \r\n+ Flächenschaden \r\n- Kann andere nicht heilen 
559,,"Schaltet den buddhistischen Mönch frei, der -%1%% billiger ist, den gegnerischen Schaden um -%2% schwächen kann und verbündeten Einheiten in der Nähe +%3%%% Schaden zufügt, während er Konversion wirkt. Can produziert hier Sohei."
560,,"Unterstützungseinheit ohne Kampffähigkeit. Kann in einer Moschee oder Madrasa stationiert werden, um die Technologie schneller zu erforschen. Kann Relikte aufheben, feindliche Einheiten umwandeln und heilige Stätten erobern, beginnend im Burgzeitalter (III). \r\n+ Heilt verbündete Einheiten \r\n+ Es ist keine Bevölkerung erforderlich, aber maximal 25 Training \r\n- Niedrige Gesundheit"
561,,Rinder in der Nähe liefern 1 % Futter pro Minute. Dorfbewohner können Ressourcen an diesem Gebäude abgeben. Kann in diesem Gebäude Rinder trainieren.
562,,Vorratswagen-Population voll. 
563,,Volle Gelehrtenpopulation. 
564,,Orden der Jungfrau
565,,Festungsturm
566,,Schwere Kanonenabwehranlagen.
567,,Es kann nur 1 Legionskommandant ausgebildet werden.
568,,Kann nur 1 Basilika trainiert werden.
569,,Es kann nur 1 Hospitalier Master ausgebildet werden.
570,,Es kann nur 1 Templermeister ausgebildet werden.
571,,Es kann nur 1 Germanenmeister ausgebildet werden.
572,,Kavallerie-Bogenschütze mit guter Rüstung. \r\n+ Zusätzlicher Schaden an gepanzerten Einheiten \r\n- Wird von leichte Reiterei gekontert
573,,Kavallerie-Bogenschütze mit guter Rüstung. \r\n+ Zusätzlicher Schaden an gepanzerten Einheiten \r\n- Wird von leichte Reiterei gekontert
575,,Beduinen-Söldner
576,,Produziert Beduinen-Söldner bestehend aus 3 Beduinen-Schwertkämpfern und 3 Beduinen-Plänklern.
577,,Erhöht die Reichweite von Grenadieren um +%1% und feuerverstärkende Granaten mit +50 % Wirkungsbereich.
582,,"Beim Training von Limitanei, Warägerwachen, Kataphrakten oder Cheirosiphons besteht eine Chance von %1%%%, auch an diesem Wahrzeichen einen zu spawnen. Kann Legion sofort mit Olivenöl anheuern."
583,,Gepanzerter Kavallerie-Bogenschütze
584,,Reiter
585,,Berittener Armbrustschütze
586,,Harquebusier
587,,Mamluke
588,,Elite Dynastie Kavallerieeinheit \r\n+ Kurze Abklingzeit Ladung und kann mehrere Feinde verletzen \r\n+ Der Ladung kann Feinde in Stücke reißen und Blutungsschäden verursachen
589,,Kavallerietechnik
590,,Kavallerietechnik
591,,"Kavallerie regeneriert alle %2% Sekunden +%1% Gesundheit, wenn sie sich außerhalb des Kampfes befinden."
592,,"Kavallerie regeneriert alle %2% Sekunden +%1% Gesundheit, wenn sie sich außerhalb des Kampfes befinden."
594,,Beherbergt eine Reihe einzigartiger Upgrades. \r\n\r\nKann Yuan-Plünderer und Imperiale Wachen freischalten. Nur %1% Technologien können erforscht werden.
595,,"Fungiert als Kaserne, die %1%%% schneller produziert, Infanterie erhält +%2%%% Angriffsschaden. kann hier Legion und Legion Commander produzieren."
