ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
86,,,extra_text,,,Legion
96,,,ui_name,,,Trample
97,,,ui_name,,,Trample
98,,,ui_name,,,Trample
106,,,help_text,,,"Infantry best used against mounted units, stronger than spearman.\r\n+ Anti-cavalry specialist \r\n- Weak against armored infantry"
114,,,extra_text,,,Heavy Melee Infantry
115,,,screen_name,,,Halberdier
116,,,screen_name,,,Hardened Halberdier
117,,,screen_name,,,Veteran Halberdier
118,,,screen_name,,,Elite Halberdier
133,,,screen_name,,,Khassaki Guards
134,,,screen_name,,,Bedouin Mercenary
135,,,screen_name,,,Expeditionary Force
136,,,screen_name,,,Uriankhai
137,,,screen_name,,,Divine Engine Division
138,,,screen_name,,,Wyngarde Orders
139,,,screen_name,,,Wyngarde Trooper
140,,,screen_name,,,Wyngarde Yeoman
141,,,screen_name,,,Gendarmerie
142,,,screen_name,,,Genoese Mercenary
143,,,screen_name,,,Swiss Mercenary
144,,,screen_name,,,Dopplesoldner
145,,,screen_name,,,Forlorn Hope
146,,,screen_name,,,Landsknecht Legion
147,,,screen_name,,,Akinci Raider
148,,,screen_name,,,Serbi Regiment
149,,,screen_name,,,Turkic Fief
150,,,screen_name,,,Standing Army
151,,,screen_name,,,Black Klobuks
152,,,screen_name,,,Tsar's Guard
153,,,screen_name,,,Tatars Mercenary
154,,,help_text,,,Produces Khassaki Guards of 3 Mamluk and 3 Ghazi.
155,,,help_text,,,Produces Bedouin Mercenary of 3 Camel Riders and 3 Camel Archers.
156,,,help_text,,,Produces Expeditionary Force of 6 Ghulam.
157,,,help_text,,,Produces Uriankhai of 6 Mangudai.
158,,,help_text,,,Produces Divine Engine Division of 4 Handcannoneers and 1 Clockworks Nest of Bee.
159,,,help_text,,,"Produces Wyngarde Orders of 3 Wyngarde Knights ,2 Wyngarde Horsemen and 1 Chevaucher."
160,,,help_text,,,"Produces Wyngarde Trooper of 2 Man-at-arms, 2 Wynguard Footmen, 2 Spearmen and 2 Halberdiers."
161,,,help_text,,,Produces Wyngarde Yeoman of 4 longbowmen and 3 Wynguard Rangers.
162,,,help_text,,,"Produces Gendarmerie of 3 Royal Knights, 2 Horsemen and 1 Mounted Crossbowman."
163,,,help_text,,,Produces Genoese Mercenary of 3 Man-at-arms and 3 Arbalétriers.
164,,,help_text,,,Produces Swiss Mercenary of 4 Halberdiers and 2 Pikemen.
165,,,help_text,,,Produces Dopplesoldner of 2 Culverins and 4 Handcannoneers.
167,,,help_text,,,"Produces Landsknecht Legion of 2 Landsknechts, 2 Man-at-arms, 2 Pikemen, 2 Halberdiers and 2 Handcannoneers."
168,,,help_text,,,Produces Akinci Raider of 3 Sipahi and 3 Horse Archers.
169,,,help_text,,,Produces Serbi Regiment of 3 Boyar Knights and 3 Boyar Warriors.
170,,,help_text,,,Produces Turkic Fief of 3 Sipahi and 3 Lancer.
171,,,help_text,,,Produces Standing Army of 5 Janissaries and 1 Great Bombard.
172,,,help_text,,,Produces Black Klobuks of 3 Horsemen and 3 Horse Archers.
173,,,help_text,,,Produces Tsar's Guard of 3 Oprichnik and 4 Streltsy.
174,,,help_text,,,Produces Tatars Mercenary of 3 Keshiks and 3 Mangudai.
175,,,help_text,,,"Produces Forlorn Hope of 1 Landsknechts, 2 Pikemen and 2 Halberdiers."
176,,,help_text,,,Produces Mansabdar of 1 War Elephant and 1 Sultan's Elite Tower Elephant.
177,,,screen_name,,,Mansabdar
180,,,screen_name,,,Boyar Warrior
181,,,screen_name,,,Boyar Knight
183,,,screen_name,,,Wyngarde Knight
185,,,screen_name,,,Wyngarde Horseman
188,,,formatter,,,Increase the armor of Landsknecht and Man-at-arms by +%1%.
189,,,screen_name,,,Maximilian Plate
190,,,extra_text,,,Infantry Technology
192,,,help_text,,,Brave Norman Knight can slowly restore to continue fighting.\r\n+ Strong in melee combat\r\n- Countered by Spearmen and Crossbowmen
195,,,screen_name,,,General
196,,,formatter,,,"The powerful Chinese General, good at using tactics to change the flow of the battlefield.\r\n- Allow to Supervise\r\n- Allow to builds Commandery when Enter the Yuan Dynasty"
199,,,screen_name,,,Turkic Horse Archer
201,,,screen_name,,,Gunpowder Commander
203,,,extra_text,,,Ultimate Mobilization
206,,,screen_name,,,Grenadier
207,,,screen_name,,,Handcannoneer
208,,,screen_name,,,Nest of Bee
209,,,screen_name,,,Palace Guard
210,,,help_text,,,Mobilize 3 Grenadiers on the battlefield.
211,,,help_text,,,Mobilize 3 Fire Lancers on the battlefield.
212,,,help_text,,,Mobilize 1 Nest of Bee on the battlefield.
213,,,help_text,,,Mobilize 3 Palace Guards on the battlefield.
214,,,formatter,,,Rus leader can use his own prestige to urge the surrounding Production Buildings to work faster.
215,,,screen_name,,,Constable
216,,,screen_name,,,Cavalry Commander
217,,,help_text,,,Improve the Damage and Speed of the nearby Cavalry.
218,,,extra_text,,,Heavy Melee Infantry
219,,,screen_name,,,Mercenary Commander
220,,,screen_name,,,Fast Expansion
221,,,help_text,,,As the Marshal of France can charge with the cavalry at the maximum speed and strengthen damage.
222,,,help_text,,,"Holy Roman Empire Mercenary Commander, He knows how to use the power of money for your Mercenary to fight harder."
223,,,screen_name,,,Knyaz
228,,,screen_name,,,Persevere!
229,,,screen_name,,,Full Attack!
230,,,screen_name,,,Quick Supply
231,,,help_text,,,"Spend 200 gold to let nearby Units Ouslaught within 15 seconds, Cooldown 35 seconds."
232,,,help_text,,,"Nearby Units improve Armor within 15 seconds, Cooldown 22 seconds."
233,,,help_text,,,"Spend 200 gold to let nearby Units regeneration quickly within 10 seconds, Cooldown 30 seconds."
239,,,screen_name,,,Elephant Unease
241,,,help_text,,,Produces Druzhina of 3 Boyar Knights and 3 Boyar Warriors.
242,,,extra_text,,,Legion
243,,,screen_name,,,Druzhina
244,,,extra_text,,,Heavy Ranged Infantry
246,,,screen_name,,,Pasha
247,,,extra_text,,,"Ranged Cavalry, Elephant"
248,,,help_text,,,"Sultan who fighting with powerful firearms on the war elephant, Driving the horror elephant intimidated the enemy's cavalry.\r\n- Provide a Tranquil Venue Aura like a Mosque when technology researched\r\n- Uncase Enemy Cavalry"
250,,,screen_name,,,Sultan Elephant
251,,,help_text,,,War Elephant caused nearby enemy cavalry damage -20%.
252,,,screen_name,,,Elephant Unease
255,,,help_text,,,"Produces Dahomey Regiment of 3 Musofadi Warriors and 3 Musofadi Handcannoneers, Produces Mansa Musofadi Warrior with Farimba Garrison"
256,,,screen_name,,,Dahomey Regiment
257,,,help_text,,,"Produces Fulani Regiment of 2 Javelin Throwers, 2 Elite Archers and 2 Donso, Produces Mansa Javelin Thrower with Farimba Garrison"
258,,,screen_name,,,Fulani Regiment
259,,,screen_name,,,Tuareg Regiment
260,,,help_text,,,Produces Tuareg Regiment of 3 Camel Riders and 3 Camel Archers.
261,,,screen_name,,,Camel Archer
262,,,screen_name,,,Camel Rider
263,,,help_text,,,Produces Iqtadar of 3 Camel Riders and 3 Ghulam.
264,,,help_text,,,Produces Rajput Army of 1 Tower Elephant and 3 Phalangites.
265,,,screen_name,,,Iqtadar
266,,,screen_name,,,Rajput Army
267,,,extra_text,,,Light Ranged Cavalry
271,,,help_text,,,"Mobilize 3 Keshik, 2 Mangudai and 2 Tarkan from Moghulistan."
272,,,screen_name,,,Chagatai Army
273,,,screen_name,,,Golden Horde Army
274,,,screen_name,,,Il Army
275,,,screen_name,,,Yuan Army
276,,,help_text,,,Mobilize 1 Nest of Bee and 3 Palace Guards from China.
277,,,help_text,,,Mobilize 3 Ghazi and 3 Ghulam from Persia.
278,,,help_text,,,Mobilize 2 Knights and 4 Handcannoneers from Russia.
279,,,help_text,,,Mobilize 2 Iron Pagoda from Mongolian Plateau.
280,,,screen_name,,,Mongols Army
282,,,screen_name,,,Rocket Launcher
284,,,help_text,,,Infantry with Hand Holding Rocket Launcher can deals continuous Siege Damage.
285,,,screen_name,,,"The military leader of the Ottoman Empire, Improves the marching speed with War Roar and fight with a special musket for a wide attack."
309,,,help_text,,,"Mobile Resources Point, villagers can store the collective resources here.\n- It will not occupy the population, but only 10 can be produced at most."
311,,,screen_name,,,Supply Cart
313,,,extra_text,,,Resources Point
314,,,help_text,,,Produces Knights Hospitalier of 6 Knight Hospitalier.
315,,,screen_name,,,Knights Hospitalier
317,,,screen_name,,,Elite Keshik
318,,,screen_name,,,Elite Keshik
319,,,screen_name,,,Highgate Guardian
320,,,extra_text,,,Military Schools Technology
322,,,help_text,,,Produces Mandekalu of 6 Mansa Freeborn Horsemen.
323,,,screen_name,,,Mandekalu 
325,,,help_text,,,Produces Jagirdar of 6 Lancers.
326,,,screen_name,,,Jagirdar
328,,,formatter,,,A spy Landmark with %1% tile sight radius and the Imperial Spies ability. Activate to view location of enemy workers for %2% seconds.\r\n- Can Produces Unique Legion.\r\n- Imperial Officials can drop off taxes at this building.
340,,,screen_name,,,Steppe Lancer
341,,,formatter,,,Cavalry gains +25HP.
345,,,extra_text,,,Heavy Ranged Cavalry
347,,,extra_text,,,Heavy Ranged Cavalry，Camel
349,,,screen_name,,,Mansa
351,,,help_text,,,"The rich Emperor of the Mali Empire, fight with a musket.\r\n- Provide a Aura when Farima Leadership technology researched\r\n- Build War assembly area to temporarily deploy the Legion"
361,,,help_text,,,Fast raiding Cavalry can slowly restore to continue fighting with the skill form Continental Europe. \r\n+ Good at Anti Ranged Units\r\n- Countered by Spearmen
363,,,help_text,,,Skillful Warrior from Serbia can causes trample damage to non-main attack target.
365,,,help_text,,,Skillful Knight from Serbia can causes trample damage to non-main attack target.
369,,,help_text,,,Turkic Horse Archer causes melee damage in distance. \r\n+ Good at Anti Siege Weapon\r\n+ Damage to the building -15
370,,,help_text,,,"Produces Kèlè-bolo of 6 Mansa Freeborn Warriors, Need to Unlock with Farimba Garrison Landmark."
371,,,screen_name,,,Kèlè-bolo
375,,,help_text,,,The fearless cavalry wearing heavy armor can effectively resist most of the damage.
377,,,screen_name,,,Farimba
380,,,help_text,,,Muslim military leaders can cause continuous melee attacks from long distances and suppress the nearby enemy cavalry units.\r\n- Can builds Fortress Tower on the Stone Wall\r\n- Uncase Enemy Cavalry\r\n- Weaker before Imperial age
382,,,screen_name,,,Sultan
387,,,screen_name,,,Fire Lancer
388,,,help_text,,,Mobilize 3 Zhuge Nu on the battlefield.
389,,,screen_name,,,Zhuge Nu
390,,,help_text,,,Mobilize 3 Handcannoneers on the battlefield.
395,,,formatter,,,"Capital Town Center provide %1% stone resources per minute, Provides 2 times stone if the following specific economy Landmark are built.\r\n- Imperial Palace \r\n- Jiangnan Tower \r\n- Guild Hall \r\n- The King's Palace \r\n- Meinwerk Palace \r\n- House of Wisdom\r\n- The Golden Gate \r\n- Compound of the Defender \r\n- Istanbul Imperial Palace \r\n- Mansa Quarry \r\n- Grand Winery \r\n- Kura Storehouse"
397,,,extra_text,,,Stone Technology
399,,,screen_name,,,Knight Templar
400,,,help_text,,,Mighty Orders Member.
401,,,help_text,,,Produces Knights Templar of 5 Knight Templar.
402,,,screen_name,,,Knight Teutonic
404,,,screen_name,,,Knight Hospitalier
405,,,help_text,,, Produces Knights Teutonic of 5 Knight Teutonic.
406,,,screen_name,,,Knights Teutonic
407,,,screen_name,,,Tagmata
408,,,screen_name,,,Norse Guard
409,,,screen_name,,,Legionaries
410,,,help_text,,,Produces Tagmata of 6 Cataphracts.
411,,,help_text,,,Produces Norse Guard of 4 Varangian Guards and 2 Norse Warriors.
412,,,help_text,,,Produces Legionaries of 10 Limitanei.
413,,,help_text,,,"Produces Teppou Regiment of 5 Handcannon Ashigaru and 1 Teppou Bannerman If Bannerman Population reached Limit, Produces 6 Handcannon Ashigaru."
414,,,screen_name,,,Teppou Regiment
415,,,help_text,,,"Produces Akazonae Regiment of 3 Mounted Samurai, 2 Horsemen and 1 Uma Bannerman, If Bannerman Population reached Limit, Produces 4 Mounted Samurai and 2 Horsemen."
416,,,screen_name,,,Akazonae Regiment
417,,,help_text,,,Produces Ashigaru Regiment of 6 Spearmen.
418,,,screen_name,,,Ashigaru Regiment
419,,,help_text,,,Produces Turkmen Mercenary of 6 Horse Archers.
420,,,screen_name,,,Turkmen Mercenary
421,,,screen_name,,,Norse Warrior
422,,,screen_name,,,Knights Templar
423,,,help_text,,,Japanese Military Leader
424,,,screen_name,,,Daimyo
425,,,screen_name,,,Strategos
426,,,help_text,,,"Byzantine Themata General, Use the Byzantine Empire's cavalry tactics to suppress the opponent.\n- Provide Torch Strengthen Aura when researched Technology\n- Provide Speed Ability when Imperial Hippodrome Landmark built\n- Provide Recovery Ability when Cistern of the First Hill Landmark built"
427,,,help_text,,,Produces Venetians Mercenary of 3 Handcannoneers and 3 Arbalétriers.
428,,,screen_name,,,Venetians Mercenary
429,,,help_text,,,"Produces Yabusame Regiment of 5 Onna-Musha and 1 Yabusame Bannerman, If Bannerman Population reached Limit, Produces 6 Onna-Musha."
430,,,screen_name,,,Yabusame Regiment
431,,,screen_name,,,Imperial Guard
432,,,help_text,,,Mobilize 3 Imperial Guards on the battlefield.
450,,,screen_name,,,Archers of the Eyes
451,,,help_text,,,Skillful Nubian Archer can hit the enemy's eyes in a very long distance.\r\n- Anti Armor
452,,,screen_name,,,Nubian Mercenary
453,,,screen_name,,,Artillerie d'Orléans
454,,,screen_name,,,Guardians of the Maiden
456,,,screen_name,,,Hungarian Black Army
457,,,screen_name,,,Order of the Dragon
458,,,screen_name,,,Arhats
459,,,screen_name,,,Three Thousand Division
460,,,screen_name,,,Five Barracks Division
461,,,help_text,,,Produces Five Barracks Division of 5 Crossbowmen and 3 Zhuge Nu.
462,,,help_text,,,"Produces Three Thousand Division of 3 Imperial Guards and 3 Yuan Raiders, Need to research the Dynastic Protectors Technology"
463,,,help_text,,,Produces Arhats of 6 Shaolin Monks.
464,,,help_text,,,"Produces Order of the Dragon of 2 Gilded Landsknechts, 2 Gilded Man-at-arms, 4 Gilded Spearman and 2 Dragon Handcannoneers."
465,,,help_text,,,Produces Hungarian Black Army of 6 Dragon Handcannoneers.
466,,,help_text,,,Produces Orders of the Maiden of 3 Royal Knights and 3 Jeanne's Riders.
467,,,help_text,,,Produces Guardians of the Maiden of 3 Man-at-arms and 3 Jeanne's Champions.
468,,,help_text,,,Produces Artillerie d'Orléans of 4 Handcannoneers and 1 Royal Cannon.
469,,,help_text,,,Produces Nubian Mercenary of 6 Archers of the Eyes.
470,,,help_text,,,"Produces Khassaki Guards of 3 Mamluks, 2 Camel Lancers and 1 Desert Raiders."
471,,,screen_name,,,Master of Knights Hospitalier
472,,,screen_name,,,Knight Templar
475,,,screen_name,,,Master of Knights Templar
478,,,screen_name,,,Master of Knights Teutonic
487,,,screen_name,,,Varangian Guard
488,,,screen_name,,,Elite Varangian Guard
490,,,extra_text,,,Heavy Ranged Cavalry
492,,,extra_text,,,Heavy Ranged Cavalry
494,,,extra_text,,,Heavy Ranged Cavalry
496,,,extra_text,,,Heavy Ranged Cavalry
498,,,extra_text,,,Heavy Ranged Cavalry
500,,,extra_text,,,Heavy Ranged Cavalry
502,,,help_text,,,Cavalry Archer with a good armor.\r\n+ High movement speed\r\n- Countered by Knights and Crossbowmen.
504,,,help_text,,,"Cavalry Archer with a slightly better armor, Fires Destructive Incendiary Arrows with Bonus damage to Building."
510,,,help_text,,,Armored Cavalry Archer with Arquebus.
516,,,help_text,,,The Powerful Great Bombard can be set up on the Wall to fire.
517,,,screen_name,,,Basilica
518,,,ui_name,,,Need The White Stupa.
519,,,screen_name,,,Huihui Pao
521,,,formatter,,,"Produces Villagers and Villagers can drop off Resource at this building, Double the Imperial Council experience around the Landmark and increase the Vizier Point limit by +2."
523,,,help_text,,,Produces Vardariotai of 3 Armored Horse Archers and 3 Horsemen.
524,,,screen_name,,,Vardariotai
525,,,help_text,,,Mobilize 3 Yuan Raiders on the battlefield.
526,,,screen_name,,,Yuan Raider
531,,,screen_name,,,Empire Rising
537,,,extra_text,,,Handcannoneer Technology
538,,,formatter,,,Bannerman units health +%1%%% and damage +%2% and unlock a powerful Shogun.
539,,,screen_name,,,Shogunate
541,,,ui_name,,,Shotgun
544,,,screen_name,,,Shotgunner
545,,,help_text,,,Handcannoneer that Fires iron scatter bullet causes 3 burst Damage widely.
546,,,screen_name,,,Double Salary
547,,,extra_text,,,Infantry Technology
548,,,formatter,,,Reasonable Salary makes the Holy Roman Empire Soldiers fight more desperately. \n- Halberdier's range increase to 0.88 \n- The Landsknecht causes Doubling Damage on a successful charge.
552,,,help_text,,,Skillful Warrior from Kiev can causes trample damage to non-main attack target.
553,,,help_text,,,Skillful Knight from Kiev can causes trample damage to non-main attack target.
554,,,help_text,,,Produce 4 additional Legions and all 8 Legions have been discounted.
556,,,screen_name,,,Sohei
558,,,help_text,,,Japanese Battle Monk. \r\n\r\n+ Capture Holy Site and Relic \r\n+ AOE Damage \r\n- Cannot heal others 
559,,,formatter,,,"Unlock the Buddhist Monk which are -%1%%% cheaper, can weaken enemy damage by -%2%%%, and provide +%3%%% damage to nearby friendly units while casting Conversion. Can produces Sohei here."
560,,,help_text,,,"Support unit with no combat capability. Can be garrisoned in a Mosque or Madrasa to research technology more quickly. Can pick up Relics, convert enemy units, and capture Sacred Sites starting in the Castle Age (III).\r\n+ Heals friendly units\r\n+ No population is required, but 25 maximum training\r\n- Low health"
561,,,formatter,,,Nearby cattle provide %1% Food per minute. Villagers can drop off Resource at this building. Can training cattle at this building.
562,,,ui_name,,,Supply Cart population full. 
563,,,ui_name,,,Scholar population full. 
564,,,screen_name,,,Orders of the Maiden
565,,,screen_name,,,Fortress Tower
566,,,help_text,,,Heavy Cannon Defense Facilities.
567,,,ui_name,,,Only can be trained 1 Legion Commander.
568,,,ui_name,,,Only can be trained 1 Basilica.
569,,,ui_name,,,Only can be trained 1 Hospitaller Master.
570,,,ui_name,,,Only can be trained 1 Templar Master.
571,,,ui_name,,,Only can be trained 1 Teutons Master.
572,,,help_text,,,Cavalry Archer with a good armor.\r\n+ High movement speed\r\n- Countered by Knights and Crossbowmen.
573,,,help_text,,,Cavalry Archer with a good armor.\r\n+ High movement speed\r\n- Countered by Knights and Crossbowmen.
575,,,screen_name,,,Bedouin Mercenary
576,,,help_text,,,Produces Bedouin Mercenary of 3 Bedouin Swordsman and 3 Bedouin Skirmisher.
577,,,formatter,,,Increase the range of Grenadiers by +%1% and Fire Strengthen grenades with +50%% aoe area.
582,,,formatter,,,"When training Limitanei, Varangian Guards, Cataphracts, or Cheirosiphons there is a %1%%% chance to also spawn one at this Landmark. Can hire Legion Instantly with Olive oil."
583,,,screen_name,,,Armored Cavalry Archer
584,,,screen_name,,,Chevaucher
585,,,screen_name,,,Mounted Crossbowman
586,,,screen_name,,,Harquebusier
587,,,screen_name,,,Mamluk
588,,,help_text,,,"Elite Cavalry Unit that can tears enemy bleeding , can frequently launch aoe charge attacks."
589,,,extra_text,,,Cavalry Technology
590,,,extra_text,,,Cavalry Technology
591,,,formatter,,,Cavalrys regenerate +%1% health every %2% seconds when out of combat.
592,,,formatter,,,Cavalrys regenerate +%1% health every %2% seconds when out of combat.
594,,,formatter,,,Hosts a range of highly unique upgrades.\r\n\r\nCan unlock Yuan Raiders and Imperial Guards. Only %1% technologies can be researched.
595,,,formatter,,,"Acts as a Barracks that produces %1%%% faster, Can Products Legion and Legion Commander here."
596,,,formatter,,,"Acts as a Barracks that produces units %1%%% faster and %2%%% cheaper, Research Technology %3%%% faster, Can Products Legion and Legion Commander here."
599,,,extra_text,,,Golden Horn Tower Technology
600,,,formatter,,,Infantry and Cataphract regenerate +%1% health every %2% seconds when out of combat.
601,,,formatter,,,Increase the range of Ranged Units by +%1%.
602,,,screen_name,,,Loyalty
603,,,screen_name,,,Logistics
604,,,screen_name,,,Felgana Horse
605,,,formatter,,,"Periodically produces unlocked Mercenary Units for free, Provide New Units for Archery Range in Imperial Age.\r\n\r\nThe value of units produced increases within a Cistern's influence."
606,,,screen_name,,,Tarkan
607,,,help_text,,,Cavalry Fight with Burning Torch \r\n+ Cause AOE Fire Damage \r\n+ High Ranged Armor \r\n- Weak in Melee
608,,,ui_name,,,Torch
609,,,formatter,,,"Cavalrys health +%2%, Increase the range of Mangudai and Khan by +%1%."
610,,,extra_text,,,Mangudai Technology
611,,,help_text,,,"Produces Gokenin Regiment of 5 Samurai and 1 Katana Bannerman, If Bannerman Population reached Limit, Produces 6 Samurai."
612,,,screen_name,,,Gokenin Regiment
613,,,formatter,,,Produces Barracks and Archery Range units %1% at a time. Unit cost is converted to Gold and reduced by -%2%%%.\r\n- Can Produces Farimba %1% at a time with 20%% Cost reduce\r\n- Unlocks Farimba training at War assembly area
614,,,formatter,,,Regnitz Cathedral income rate Increases to +%1%%%
615,,,screen_name,,,Reliquary
617,,,help_text,,,Product all Units and Legion. Unlock extra units when specific landmark built:\r\n- Deer Stone : Khan's Hunter\r\n- Kurultai : Darughachi\r\n- The White Stupa : HuiHui Pao
618,,,screen_name,,,Posthouse
620,,,ui_name,,,Maximum upgrades (4) reached.
621,,,formatter,,,Produces Buddhist Monks and Sohei and contains unique Buddhist technologies. Buddhist Monks provide support in combat by decreasing enemy damage with Sohei's Sutra and by enhancing damage of allies with Buddhist Conversion.\n \nAlso allows construction of %1% additional Buddhist Temples.
622,,,help_text,,,"Produces the Buddhist Monk and Sohei and houses Unique Buddhist technologies. Starting in the Castle Age (III), religious units can pick up Relics and place them in this building to generate Gold."
627,,,formatter,,,Ninja Master shared their practice that infantry Health +15%% and Damage +10%%
